Luas I;Keliling I;Solidity I;Granularity I;Circularity I;Entropi I;Energi I;Kontras I;Homogenitas I;Luas P;Keliling P;Solidity P;Granularity P;Circularity P;Entropi P;Energi P;Kontras P;Homogenitas P;Luas Normal I P;Keliling Normal I;Eccentricity;LI per LP ;KI per KP;Jenis
38441;1927;0.776946864;64.0008181;0.130089161;3.034640309;0.00130162;280.2691489;0.339633135;67052;1730;0.849178708;78.76790868;0.281533056;3.393681945;0.000609049;564.0336457;0.335654453;0.446261899;1.641396934;0.866338134;0.573301318;1.113872832;0
42835;2048;0.752573878;69.33075855;0.128336068;2.961015793;0.00151284;427.0415163;0.318618656;63752;2256;0.823233171;71.17542688;0.157407524;3.322822662;0.00077132;895.5295003;0.32165184;0.454723992;1.667752443;0.825540304;0.671900489;0.907801418;0
41152;2453;0.749048945;69.28686516;0.085942051;3.051236732;0.001236197;352.1026716;0.324974302;60378;2588;0.809627891;73.70184899;0.113281774;3.455894966;0.000576831;846.3570309;0.308635714;0.434129462;1.987844408;0.562915206;0.681572758;0.947836167;0
39528;1429;0.794740334;98.62641152;0.243248543;3.193040062;0.000957103;526.6937539;0.324338395;62434;1560;0.829324017;94.41717095;0.322390197;3.505561305;0.000490291;617.697359;0.315273737;0.492769522;1.260141093;0.532828391;0.633116571;0.916025641;0
35315;1463;0.796584937;98.84058381;0.207338724;3.202175805;0.000844285;509.5310015;0.332473648;52610;1473;0.936204289;93.09576419;0.304700153;3.479261556;0.000469881;614.6031439;0.319768746;0.538897027;1.428710938;0.565972567;0.671260217;0.993211134;0
25689;1047;0.791209807;112.1616515;0.294485353;3.150023512;0.000916722;732.9043325;0.342138984;52049;1314;0.926336584;114.1366247;0.3788188;3.433284376;0.000511923;1034.491074;0.351451412;0.382510162;1.006730769;0.650302887;0.493554151;0.796803653;0
39250;1520;0.818782986;104.2238837;0.213482534;3.115069769;0.001231439;577.9073941;0.349958978;55870;1250;0.896444387;90.48802472;0.449333201;3.39910806;0.000697175;511.0387844;0.351757448;0.522831415;1.386861314;0.500043571;0.702523716;1.216;0
26304;775;0.883870968;112.3055253;0.550336421;3.149055359;0.000924516;549.1524088;0.333193881;35737;635;0.974849287;94.40819277;1.113731506;3.399576874;0.000569299;553.6129014;0.323995555;0.561691224;0.894919169;0.788187504;0.736043876;1.220472441;0
46321;995;0.920656689;92.04445536;0.587951671;3.10563729;0.001557089;333.8201705;0.34300413;42819;1836;0.714090356;68.45535825;0.159625044;3.326194246;0.001118297;1112.557459;0.327840024;0.650868368;0.93164794;0.663916111;1.081786123;0.541938998;0
48171;1076;0.905963777;95.01252665;0.522842621;3.138241678;0.001424808;438.758554;0.34671346;54375;1158;0.835176481;83.02596791;0.509556112;3.397351576;0.00088579;530.1371629;0.332607503;0.67101744;1.003731343;0.781607687;0.885903448;0.929188256;0
47640;1017;0.900652236;95.9372969;0.578814912;3.184668474;0.001197166;549.5784879;0.349838546;62520;1351;0.867369589;92.46182288;0.430445464;3.423321598;0.000729145;472.7442692;0.348922873;0.658921162;0.939926063;0.622402132;0.761996161;0.752775722;0
43972;1064;0.90237846;91.90670186;0.488093279;3.054443689;0.00168911;402.3652673;0.344821194;49511;1631;0.806709682;79.61626422;0.233885684;3.359565979;0.001014651;926.7738364;0.331804636;0.65405325;1.02504817;0.780679524;0.888125871;0.652360515;0
38042;980;0.864198092;102.3000773;0.497761215;3.130070214;0.001409485;469.9314536;0.337199838;44339;1316;0.889109467;82.54729123;0.321724385;3.420593444;0.000895739;813.6966494;0.310721002;0.628253402;0.993914807;0.767870605;0.857980559;0.744680851;0
38368;714;0.955664043;94.75775439;0.945763615;3.00223373;0.001920236;368.785246;0.359386641;41730;1283;0.887513558;64.89899379;0.318570044;3.28627388;0.001351694;997.6442272;0.315221044;0.657864957;0.739130435;0.791928649;0.91943446;0.556508184;0
27399;1214;0.733593938;64.05176701;0.233618485;2.883004048;0.001777677;295.3797859;0.366844949;40354;1271;0.840515715;67.43844805;0.313910146;3.344224635;0.00077531;701.1851654;0.332656281;0.379167186;1.128252788;0.729559302;0.67896615;0.955153423;0
13821;1058;0.798624754;66.1006514;0.155159366;2.676459625;0.002759974;748.0015177;0.355954528;35378;732;0.940529044;88.87428048;0.829699789;3.283542526;0.000766306;605.4065577;0.349029266;0.249341512;1.123142251;0.845107794;0.390666516;1.445355191;0
