Luas I;Keliling I;Solidity I;Granularity I;Circularity I;Rerata R I;Rerata G I;Rerata B I;Entropi I;Energi I;Kontras I;Homogenitas I;Luas P;Keliling P;Solidity P;Granularity P;Circularity P;Rerata R P;Rerata G P;Rerata B P;Entropi P;Energi P;Kontras P;Homogenitas P;Luas Normal I P;Keliling Normal I;Eccentricity;LI per LP ;KI per KP;Jenis
38441;6726;0.259024;64.000816;0.010678;56.658741;13.216647;33.569942;1.685393;0.29511;127.31868;0.700021;67052;14505;0.28658;78.767906;0.004005;63.690678;47.256744;58.859264;1.639127;0.339967;526.859131;0.717233;0.446262;5.729131;0.866338;0.573301;0.463702;1
42835;9873;0.25088;69.330757;0.005522;62.933907;18.1924;41.30864;1.676976;0.283089;179.061661;0.697543;63752;11706;0.27614;71.17543;0.005846;40.123566;26.714979;35.4631;1.127369;0.536898;735.226929;0.807998;0.454724;8.039903;0.82554;0.671901;0.843414;1
41152;7959;0.250002;69.286865;0.008164;60.001911;13.53207;35.397556;1.656879;0.307588;154.665985;0.702139;60378;12678;0.271731;73.701851;0.00472;42.656914;29.326462;37.770782;1.177838;0.529551;664.975769;0.795942;0.434129;6.449757;0.563431;0.681573;0.62778;1
39528;5526;0.264956;98.626411;0.016266;96.898384;11.892029;70.529373;1.903995;0.247139;261.06015;0.663505;62434;7527;0.279085;94.417168;0.013848;60.937866;42.070423;58.66811;1.313305;0.465549;717.029358;0.771028;0.49277;4.873016;0.532828;0.633117;0.734157;1
35315;5208;0.265552;98.840584;0.016362;106.485809;15.907602;78.281555;2.059894;0.202807;280.735138;0.632217;52610;6369;0.315051;93.095764;0.016298;57.27713;38.191219;54.294041;1.228658;0.495472;759.380981;0.786597;0.538897;5.085938;0.565973;0.67126;0.817711;1
25689;4185;0.264413;112.161652;0.018432;88.233971;16.172859;72.268616;1.520851;0.371552;286.835602;0.742536;52049;5355;0.31116;114.136627;0.022809;91.37149;64.795517;85.90387;1.573068;0.350029;1109.560059;0.731555;0.38251;4.024038;0.650303;0.493554;0.781513;1
39250;4725;0.272928;104.223885;0.022093;108.867805;10.414721;80.045372;1.907215;0.219529;257.522827;0.686424;55870;4080;0.30127;90.488022;0.042176;47.862839;32.366848;46.110348;0.977866;0.585904;600.775757;0.84532;0.522831;4.311131;0.500044;0.702524;1.158088;1
26304;2916;0.294624;112.305527;0.038874;126.985802;25.142643;108.60762;2.096473;0.183827;313.942047;0.618799;35737;1902;0.326526;94.408195;0.124139;47.266239;29.399317;44.305359;0.908468;0.618792;738.038757;0.841381;0.561691;3.367206;0.788188;0.736044;1.533123;1
46321;3138;0.306886;92.044456;0.059113;124.302063;6.053774;64.491188;2.159221;0.118324;132.892593;0.64223;42819;13098;0.239987;68.45536;0.003136;24.096701;17.968287;23.39373;0.57147;0.764799;552.28125;0.910828;0.650868;2.938202;0.663916;1.081786;0.239579;1
48171;3732;0.302426;95.012527;0.043462;134.521545;7.318187;79.653046;2.300323;0.103823;212.833115;0.613024;54375;10407;0.281282;83.02597;0.006309;38.068256;27.554716;37.692524;0.805144;0.659069;502.994293;0.873518;0.671017;3.481343;0.783258;0.885903;0.358605;1
