Nama Citra,Luas I,Keliling I,Solidity I,Granularity I,Circularity I,Rerata R I,Rerata G I,Rerata B I,Entropi I,Energi I,Kontras I,Homogenitas I,Luas P,Keliling P,Solidity P,Granularity P,Circularity P,Rerata R P,Rerata G P,Rerata B P,Entropi P,Energi P,Kontras P,Homogenitas P,Luas Normal I P,Keliling Normal I,Eccentricity,LI per LP ,KI per KP,Jenis
1_g_1,28430,3585,0.268621,94.312683,0.027798,54.890141,1.876647,35.371578,0.948545,0.550924,95.595978,0.862625,74098,6687,0.309884,111.385666,0.020823,92.180115,58.447769,82.926323,1.690693,0.336958,657.984192,0.704564,0.253556,2.675373,0.281891,0.383681,0.536115,0
1_g_37,26678,2751,0.271209,94.766846,0.044298,54.480602,1.701938,36.716888,0.903391,0.558936,83.282555,0.870066,69660,5391,0.30779,112.002846,0.03012,91.448318,55.263107,80.758156,1.658948,0.346966,616.002014,0.710104,0.248802,2.1,0.324431,0.382974,0.510295,0
1_g_48,16441,2757,0.268446,93.288719,0.027181,52.72094,1.153637,27.480625,0.90404,0.564735,79.134598,0.865383,40754,5040,0.307165,108.779884,0.020161,85.796387,40.71973,73.670959,1.640245,0.36639,349.640625,0.71598,0.2426,2.645873,0.17839,0.403421,0.547024,0
1_g_49_1,21053,2484,0.254328,93.719696,0.042877,56.71006,1.104393,34.134789,0.959895,0.528206,67.368889,0.860616,52638,4737,0.31502,108.980812,0.029478,90.70932,48.433926,78.765152,1.71935,0.334543,534.970032,0.707863,0.268547,2.217857,0.137569,0.399958,0.524383,0
1_g_80,19462,2712,0.288518,101.349991,0.033252,63.736862,1.415763,37.189793,1.019739,0.504781,80.231018,0.846213,45497,4839,0.305827,111.805794,0.024416,88.695114,48.629482,76.410034,1.669471,0.359994,619.959351,0.709456,0.283785,2.587786,0.27854,0.427764,0.560446,0
1_g_87,17446,3120,0.286809,100.75502,0.022521,63.688538,1.996721,38.375977,1.055206,0.499135,114.720757,0.833507,40043,4122,0.310194,110.21347,0.029616,84.557373,42.861855,70.242523,1.658831,0.376429,641.783081,0.709507,0.286033,3.157895,0.205856,0.435682,0.756914,0
1_g_94,17068,3243,0.250985,100.285522,0.020394,68.726288,1.850554,33.6912,1.131272,0.451513,102.281837,0.827501,32712,4746,0.300427,103.541183,0.01825,72.600487,33.417454,60.429951,1.457831,0.429065,458.127197,0.74991,0.320243,3.50974,0.655635,0.521766,0.683312,0
1_g_134,24154,3198,0.243552,98.975166,0.029679,61.703304,1.128195,36.938648,0.995773,0.510605,76.90078,0.851867,58783,5100,0.312874,112.266228,0.0284,92.051346,50.51054,78.563026,1.733706,0.342152,575.457214,0.699057,0.280397,2.72402,0.319526,0.410901,0.627059,0
1_g_137,18381,2895,0.248238,97.042717,0.02756,58.312309,1.232398,31.057091,0.976738,0.530702,77.143448,0.853408,41983,5679,0.307635,108.639648,0.016358,81.288017,40.918079,68.313133,1.580865,0.395054,538.930664,0.728975,0.265802,2.751901,0.273463,0.43782,0.509773,0
1_g_138,17177,3000,0.236393,95.404114,0.023984,60.389805,0.715094,27.838715,0.981924,0.499301,59.506958,0.855695,33660,5829,0.293863,102.624527,0.012449,70.987671,29.241268,56.875042,1.446627,0.440937,312.542938,0.752113,0.286642,3.061224,0.24648,0.510309,0.514668,0
