Nama Citra;Luas I;Keliling I;Solidity I;Granularity I;Circularity I;Rerata R I;Rerata G I;Rerata B I;Entropi I;Energi I;Kontras I;Homogenitas I;Luas P;Keliling P;Solidity P;Granularity P;Circularity P;Rerata R P;Rerata G P;Rerata B P;Entropi P;Energi P;Kontras P;Homogenitas P;Luas Normal I P;Keliling Normal I;Eccentricity;LI per LP ;KI per KP;Jenis
1_w_3;19897;5151;0.23985;68.902061;0.009424;29.670366;3.726242;22.113617;0.643349;0.702591;83.422874;0.899754;92838;6774;0.294502;90.291855;0.025424;104.260681;55.597694;91.403145;2.106846;0.172866;371.063934;0.634526;0.156608;3.612202;0.427223;0.21432;0.760407;1
1_w_7;28632;1701;0.326402;91.324295;0.124352;106.282112;5.218091;70.182175;1.755338;0.176842;84.488197;0.717392;37716;2898;0.326469;75.353188;0.056434;35.276516;24.548265;28.086512;0.805488;0.653865;396.927338;0.874624;0.57605;1.906951;0.746422;0.759147;0.586957;2
1_w_8;29210;1716;0.326034;91.537033;0.124654;121.274109;5.981177;80.605225;1.907149;0.129045;101.188187;0.688563;37653;2535;0.329077;79.094948;0.07363;37.378307;25.503931;29.049416;0.822732;0.650693;432.7612;0.870037;0.637829;2.004673;0.757092;0.775768;0.676923;2
1_w_12;28749;1716;0.329256;95.521172;0.122687;76.815971;7.902815;56.291061;1.436546;0.363186;99.57547;0.757082;60022;6309;0.319025;102.250679;0.01895;87.774849;74.046074;79.282433;1.520304;0.316158;726.454163;0.763058;0.393294;1.585952;0.700174;0.478974;0.271992;2
1_w_17;28530;1668;0.329613;94.640488;0.12886;76.265846;5.977875;53.777008;1.377887;0.362679;84.042885;0.783354;51029;3720;0.320411;95.29847;0.046338;63.847984;53.303463;55.69268;1.1683;0.463143;515.93042;0.824725;0.394273;1.550186;0.701243;0.559094;0.448387;2
1_w_24;29587;1788;0.325791;95.913445;0.116299;74.611618;8.788054;55.924477;1.390938;0.382764;95.376556;0.765472;54544;8178;0.307772;96.293831;0.010249;65.283257;55.026604;59.97998;1.24699;0.448103;855.543762;0.809798;0.37751;1.593583;0.844097;0.542443;0.218635;2
1_w_26;29996;1773;0.32775;96.303604;0.11991;92.769768;9.487259;67.697327;1.67671;0.263282;117.089378;0.715095;44642;3651;0.325097;87.500084;0.042085;48.268566;38.145393;40.450096;0.981012;0.571127;560.585815;0.845342;0.481956;1.776553;0.621879;0.671923;0.48562;2
1_w_27;23926;1554;0.327637;92.679047;0.124502;98.46003;9.247331;70.511398;1.800645;0.214621;128.517792;0.678433;32222;3060;0.315142;77.55101;0.043243;36.257542;30.148651;32.758442;0.814814;0.649714;632.831543;0.866008;0.531158;1.823944;0.698538;0.742536;0.507843;2
1_w_29;23399;1506;0.32885;97.271919;0.129645;105.868271;6.569532;70.877594;1.75712;0.204342;120.626488;0.719867;32250;3324;0.312382;82.557922;0.036679;41.438358;32.981644;36.517067;0.901629;0.616108;653.197571;0.852937;0.542963;1.810096;0.782844;0.72555;0.453069;2
1_w_30;28956;1803;0.325158;96.372925;0.111933;73.551331;8.348195;56.035469;1.376268;0.393751;98.465652;0.76834;51618;8703;0.296507;93.731216;0.008564;59.016399;49.741356;55.144917;1.160364;0.487345;969.739319;0.823312;0.368641;1.606952;0.830632;0.560967;0.20717;2
1_w_31;40127;2733;0.309722;101.861855;0.06751;89.486961;22.372349;76.414742;1.565239;0.313206;122.44809;0.731933;75557;9630;0.314267;102.141777;0.010238;80.164833;70.438644;75.853577;1.413843;0.365316;851.146606;0.791305;0.435973;2.251235;0.55459;0.531083;0.283801;2
1_w_33;28570;1713;0.329242;97.807961;0.12235;98.459557;7.531479;70.922768;1.709397;0.240974;123.747505;0.712802;42721;3888;0.309633;88.699127;0.035514;50.880947;41.118771;43.823776;1.036998;0.549741;584.62262;0.838429;0.504129;1.795597;0.620416;0.668758;0.440586;2
1_w_35;28955;1722;0.328355;100.084038;0.122706;99.27095;14.594255;76.907219;1.758945;0.248168;125.491394;0.695828;46680;4251;0.318129;94.5373;0.032461;61.858952;51.463238;54.927898;1.17794;0.469614;682.76062;0.811978;0.496485;1.782609;0.616238;0.620287;0.405081;2
1_w_36;30963;1761;0.328412;95.402832;0.125468;84.05442;8.820473;61.071651;1.548008;0.31159;95.843552;0.743691;55164;4017;0.316146;95.565987;0.04296;67.668892;56.684311;62.201378;1.286675;0.422221;527.554871;0.805549;0.437658;1.655075;0.780271;0.56129;0.438387;2
1_w_38;28694;1689;0.328626;94.936172;0.126398;66.512665;8.279925;52.803345;1.251581;0.444732;86.804199;0.79412;63020;7977;0.29921;103.56279;0.012445;83.099945;75.180542;76.895332;1.362083;0.353317;876.659424;0.79565;0.329755;1.431356;0.582351;0.455316;0.211734;2
1_w_39;41793;2529;0.311816;100.594803;0.082114;91.879326;20.47558;77.005035;1.627154;0.292375;107.423195;0.722366;74468;8106;0.305849;99.734352;0.014242;73.756752;64.776993;68.646271;1.303314;0.40166;766.897827;0.802377;0.455222;2.086634;0.571433;0.561221;0.311991;2
1_w_46;27224;1683;0.328566;98.014923;0.12078;82.779533;8.181817;62.846798;1.45516;0.335754;86.999176;0.762738;55545;4311;0.314181;101.993332;0.037558;88.071907;76.089355;82.500183;1.530565;0.31291;516.088745;0.774614;0.417034;1.643555;0.542851;0.490125;0.390397;2
1_w_48;35574;1974;0.325617;98.328735;0.114722;97.891205;12.517784;74.571861;1.79431;0.247212;100.84227;0.693362;59527;5622;0.297839;93.583672;0.023667;64.869858;52.741898;61.3717;1.290835;0.431182;555.308716;0.80073;0.498354;1.841418;0.852546;0.597611;0.351121;2
1_w_53;31141;1752;0.328668;94.00119;0.127489;87.709526;7.875498;65.790108;1.590555;0.280552;102.570534;0.73692;54266;3753;0.320602;96.053337;0.048415;68.898338;57.588127;62.249439;1.291876;0.417376;513.663147;0.804656;0.466169;1.694391;0.888161;0.573858;0.466827;2
