Luas I;Keliling I;Solidity I;Granularity I;Circularity I;Entropi I;Energi I;Kontras I;Homogenitas I;Luas P;Keliling P;Solidity P;Granularity P;Circularity P;Entropi P;Energi P;Kontras P;Homogenitas P;Luas Normal I P;Keliling Normal I;Eccentricity;LI per LP ;KI per KP;Jenis
28430;3585;0.268621;94.312683;0.027798;0.948545;0.550924;95.595978;0.862625;74098;6687;0.309884;111.385666;0.020823;1.690693;0.336958;657.984192;0.704564;0.253556;2.675373;0.281891;0.383681;0.536115;0
26678;2751;0.271209;94.766846;0.044298;0.903391;0.558936;83.282555;0.870066;69660;5391;0.30779;112.002846;0.03012;1.658948;0.346966;616.002014;0.710104;0.248802;2.1;0.324431;0.382974;0.510295;0
16441;2757;0.268446;93.288719;0.027181;0.90404;0.564735;79.134598;0.865383;40754;5040;0.307165;108.779884;0.020161;1.640245;0.36639;349.640625;0.71598;0.2426;2.645873;0.17839;0.403421;0.547024;0
21053;2484;0.254328;93.719696;0.042877;0.959895;0.528206;67.368889;0.860616;52638;4737;0.31502;108.980812;0.029478;1.71935;0.334543;534.970032;0.707863;0.268547;2.217857;0.137569;0.399958;0.524383;0
19462;2712;0.288518;101.349991;0.033252;1.019739;0.504781;80.231018;0.846213;45497;4839;0.305827;111.805794;0.024416;1.669471;0.359994;619.959351;0.709456;0.283785;2.587786;0.27854;0.427764;0.560446;0
17446;3120;0.286809;100.75502;0.022521;1.055206;0.499135;114.720757;0.833507;40043;4122;0.310194;110.21347;0.029616;1.658831;0.376429;641.783081;0.709507;0.286033;3.157895;0.205856;0.435682;0.756914;0
17068;3243;0.250985;100.285522;0.020394;1.131272;0.451513;102.281837;0.827501;32712;4746;0.300427;103.541183;0.01825;1.457831;0.429065;458.127197;0.74991;0.320243;3.50974;0.655635;0.521766;0.683312;0
24154;3198;0.243552;98.975166;0.029679;0.995773;0.510605;76.90078;0.851867;58783;5100;0.312874;112.266228;0.0284;1.733706;0.342152;575.457214;0.699057;0.280397;2.72402;0.319526;0.410901;0.627059;0
18381;2895;0.248238;97.042717;0.02756;0.976738;0.530702;77.143448;0.853408;41983;5679;0.307635;108.639648;0.016358;1.580865;0.395054;538.930664;0.728975;0.265802;2.751901;0.273463;0.43782;0.509773;0
17177;3000;0.236393;95.404114;0.023984;0.981924;0.499301;59.506958;0.855695;33660;5829;0.293863;102.624527;0.012449;1.446627;0.440937;312.542938;0.752113;0.286642;3.061224;0.24648;0.510309;0.514668;0
15038;2301;0.302332;94.950813;0.035692;0.913173;0.542606;48.328941;0.864244;34968;4617;0.3061;109.524055;0.020614;1.609773;0.391148;462.46814;0.725212;0.257853;2.381988;0.579827;0.43005;0.498376;0
26394;3546;0.279639;104.000237;0.026378;1.120043;0.490141;161.544373;0.826348;61739;4650;0.310857;114.558708;0.035881;1.632776;0.351865;706.781677;0.712918;0.294346;2.959933;0.325361;0.427509;0.762581;0
28276;3087;0.293825;99.973587;0.037287;0.990593;0.529464;110.163651;0.858704;73720;3972;0.319932;115.228149;0.058719;1.673436;0.313353;469.678497;0.711341;0.26862;2.374615;0.245435;0.383559;0.77719;0
14022;1962;0.2638;97.482498;0.045774;0.999552;0.464516;40.748913;0.855781;29914;2517;0.316289;103.810287;0.059336;1.55477;0.397879;358.854675;0.727449;0.312433;2.313679;0.483087;0.468744;0.779499;0
12610;1845;0.281819;87.137337;0.046551;0.783769;0.569435;25.406368;0.893207;30285;3822;0.313841;101.387848;0.026053;1.511052;0.412964;384.470001;0.744239;0.240479;2.014192;0.171508;0.416378;0.482732;0
20377;3090;0.312895;97.256523;0.026818;0.934214;0.522951;46.070217;0.870233;50658;3522;0.324027;111.184471;0.051319;1.776958;0.34256;439.712433;0.693831;0.27165;2.819343;0.444404;0.402246;0.877342;0
16772;1296;0.325569;98.870926;0.125483;1.719178;0.19638;150.534775;0.725607;22035;1542;0.325764;85.415474;0.116454;0.807479;0.665695;640.139221;0.862812;0.550841;1.856734;0.736535;0.761153;0.840467;1
20391;1560;0.307501;102.934944;0.105293;1.664629;0.234612;141.776596;0.726515;28565;1884;0.329242;91.621819;0.101131;0.943696;0.616051;656.902893;0.844654;0.509775;1.95;0.442412;0.713846;0.828025;1
28181;1665;0.329602;103.180939;0.127743;1.24337;0.382177;97.166931;0.823103;50240;2682;0.322697;107.923317;0.087769;1.14713;0.484728;486.114899;0.816171;0.378665;1.521938;0.887411;0.560928;0.620805;1
22640;1515;0.326724;102.554832;0.123954;1.296157;0.367004;98.6474;0.803238;36632;2415;0.322871;101.159729;0.078929;1.001882;0.562945;552.839722;0.839745;0.390473;1.571577;0.554895;0.618039;0.627329;1
22947;1560;0.326434;101.710777;0.118491;1.552871;0.289834;113.717384;0.761273;32779;2373;0.311727;91.956215;0.073149;0.850867;0.630748;513.665833;0.869107;0.457112;1.72949;0.762949;0.700052;0.657396;1
16466;1293;0.324389;99.884575;0.123766;1.874529;0.159516;177.717499;0.699147;19879;1479;0.326131;75.909882;0.114201;0.625064;0.748325;725.90033;0.886025;0.594012;1.941441;0.736589;0.828311;0.874239;1
18882;1377;0.324249;98.890793;0.125138;1.723773;0.18575;122.816559;0.726769;23439;2040;0.318768;79.256973;0.070776;0.66317;0.72729;673.603699;0.892402;0.564434;1.881148;0.54503;0.80558;0.675;1
21549;1539;0.321014;104.769058;0.11433;1.390348;0.321854;123.273605;0.785753;27035;2067;0.323323;73.659813;0.079516;0.559043;0.77807;589.791016;0.906484;0.428401;1.71;0.840939;0.797078;0.744557;1
21952;1479;0.329076;108.467079;0.126109;1.715929;0.253212;135.359985;0.707125;30141;2439;0.319114;92.529533;0.063671;0.79865;0.649739;754.38031;0.874788;0.49136;1.748227;0.682863;0.72831;0.606396;1
27384;1779;0.319083;104.725868;0.108731;1.324323;0.386754;97.365715;0.800219;48361;5814;0.309834;109.8172;0.017979;1.0475;0.491149;1096.208008;0.847241;0.374252;1.644177;0.464501;0.566241;0.305986;1
23329;1521;0.328088;104.57917;0.126721;1.57028;0.2338;121.852303;0.765514;36068;3369;0.311888;106.883888;0.039933;1.234552;0.502157;891.758911;0.798801;0.51214;1.78103;0.719126;0.646806;0.451469;1
23712;1551;0.328539;105.946999;0.123867;1.372433;0.317533;101.462685;0.798659;32207;2229;0.308771;85.418976;0.081459;0.722689;0.699895;528.401855;0.88101;0.432196;1.65;0.624889;0.736237;0.695828;1
23310;1536;0.327668;107.691025;0.124157;1.419602;0.285521;112.898643;0.788746;29896;2526;0.302714;80.095863;0.058878;0.632509;0.7383;698.675232;0.891978;0.461356;1.706667;0.724341;0.779703;0.608076;1
13442;1149;0.328784;104.491196;0.127948;1.720043;0.224435;134.534409;0.704498;16233;1287;0.326593;72.183533;0.123155;0.564668;0.774868;700.487305;0.89711;0.518896;1.784161;0.724503;0.828066;0.892774;1
16600;1299;0.321612;100.309433;0.123623;1.634949;0.203611;119.820061;0.747625;20419;1485;0.328665;75.546928;0.116357;0.629809;0.746669;605.97113;0.889473;0.543817;1.855714;0.762929;0.812968;0.874747;1
